id_centralina;data_record;data_record_value;banda;idcell;t2m;geom;tp;sp;pbl00;pbl12;u10;v10;ndvi;dust;aod550;id;x;y;d_impianti;d_a1;d_a2;d_aero;i_surface;d_costa;q_dem;climate_zone;p_istat;cl_agri;cl_arbl;cl_crop;cl_dcds;cl_evgr;cl_hidv;cl_lwdv;cl_pstr;cl_shrb;av_buf_a1;av_buf_a23;av_buf_oth;pm10_diff;nh3_diff;co_punt;cod_reg
IT2044A_5_BETA_2012-01-01_00:00:00;2015-01-01;23.28;1;233751;6.45900869369507;POINT (1279816.259979737 4507443.919203629);0.0;1018.56256103516;794.414245605469;830.488525390625;-2.27828931808472;-5.96710395812988;0.493159174919128;0.0;0.0667699575424194;233751;1279781.2531;4507182.93121;12024;97566;561;12876;79;10630;50;7;6323;0;0;0;0;0;74;26;0;0;0.0;4121.97705078125;15638.970703125;12.6350991167;1.38023942455;0.0;16
IT2044A_5_BETA_2012-01-01_00:00:00;2015-01-02;19.17;2;233751;6.96931934356689;POINT (1279816.259979737 4507443.919203629);0.0;1023.14617919922;508.591613769531;1033.30200195312;0.0640907064080238;-3.83572816848755;0.493159174919128;0.0;0.026561425998807;233751;1279781.2531;4507182.93121;12024;97566;561;12876;79;10630;50;7;6323;0;0;0;0;0;74;26;0;0;0.0;4121.97705078125;15638.970703125;12.6350991167;1.38023942455;0.0;16
IT2044A_5_BETA_2012-01-01_00:00:00;2015-01-03;29.51;3;233751;10.4146099090576;POINT (1279816.259979737 4507443.919203629);0.0;1021.67059326172;143.329849243164;576.179504394531;0.747574388980865;-0.262602895498276;0.493159174919128;0.0;0.0501835756003857;233751;1279781.2531;4507182.93121;12024;97566;561;12876;79;10630;50;7;6323;0;0;0;0;0;74;26;0;0;0.0;4121.97705078125;15638.970703125;12.6350991167;1.38023942455;0.0;16
IT2044A_5_BETA_2012-01-01_00:00:00;2015-01-04;18.4;4;233751;11.711085319519;POINT (1279816.259979737 4507443.919203629);0.0;1013.43237304688;237.138153076172;1282.56713867188;1.63820433616638;-3.45342230796814;0.493159174919128;0.0;0.13227666914463;233751;1279781.2531;4507182.93121;12024;97566;561;12876;79;10630;50;7;6323;0;0;0;0;0;74;26;0;0;0.0;4121.97705078125;15638.970703125;12.6350991167;1.38023942455;0.0;16
IT2044A_5_BETA_2012-01-01_00:00:00;2015-01-05;14.77;5;233751;8.0737419128418;POINT (1279816.259979737 4507443.919203629);0.0;1017.43853759766;1220.50451660156;2033.947265625;0.21480131149292;-7.7333517074585;0.493159174919128;0.0;0.0335351787507534;233751;1279781.2531;4507182.93121;12024;97566;561;12876;79;10630;50;7;6323;0;0;0;0;0;74;26;0;0;0.0;4121.97705078125;15638.970703125;12.6350991167;1.38023942455;0.0;16
IT2044A_5_BETA_2012-01-01_00:00:00;2015-01-06;10.09;6;233751;7.55165719985962;POINT (1279816.259979737 4507443.919203629);3.93202781677246;1017.10693359375;1283.94250488281;1718.94873046875;0.829743623733521;-6.30452919006348;0.493159174919128;0.0;0.0242319237440825;233751;1279781.2531;4507182.93121;12024;97566;561;12876;79;10630;50;7;6323;0;0;0;0;0;74;26;0;0;0.0;4121.97705078125;15638.970703125;12.6350991167;1.38023942455;0.0;16
IT2044A_5_BETA_2012-01-01_00:00:00;2015-01-07;21.41;7;233751;5.44424295425415;POINT (1279816.259979737 4507443.919203629);0.0;1025.74499511719;731.535461425781;1150.80212402344;-0.278027474880219;-3.2362802028656;0.493159174919128;0.0;0.0470796786248684;233751;1279781.2531;4507182.93121;12024;97566;561;12876;79;10630;50;7;6323;0;0;0;0;0;74;26;0;0;0.0;4121.97705078125;15638.970703125;12.6350991167;1.38023942455;0.0;16
IT2044A_5_BETA_2012-01-01_00:00:00;2015-01-08;39.07;8;233751;5.45952320098877;POINT (1279816.259979737 4507443.919203629);0.0;1030.31628417969;111.504730224609;433.374786376953;-0.50687038898468;-0.96295952796936;0.493159174919128;0.0;0.075193002820015;233751;1279781.2531;4507182.93121;12024;97566;561;12876;79;10630;50;7;6323;0;0;0;0;0;74;26;0;0;0.0;4121.97705078125;15638.970703125;12.6350991167;1.38023942455;0.0;16
IT2044A_5_BETA_2012-01-01_00:00:00;2015-01-09;52.1;9;233751;9.2059907913208;POINT (1279816.259979737 4507443.919203629);0.0;1028.15417480469;28.3859119415283;623.646606445312;1.21826577186584;1.66932475566864;0.493159174919128;0.0;0.11371760815382;233751;1279781.2531;4507182.93121;12024;97566;561;12876;79;10630;50;7;6323;0;0;0;0;0;74;26;0;0;0.0;4121.97705078125;15638.970703125;12.6350991167;1.38023942455;0.0;16
IT2044A_5_BETA_2012-01-01_00:00:00;2015-01-10;50.39;10;233751;10.9696455001831;POINT (1279816.259979737 4507443.919203629);0.0;1018.2021484375;128.51789855957;688.806335449219;1.46062242984772;0.496111243963242;0.493159174919128;0.0;0.0787884965538979;233751;1279781.2531;4507182.93121;12024;97566;561;12876;79;10630;50;7;6323;0;0;0;0;0;74;26;0;0;0.0;4121.97705078125;15638.970703125;12.6350991167;1.38023942455;0.0;16
IT2044A_5_BETA_2012-01-01_00:00:00;2015-01-11;24.83;11;233751;13.1399869918823;POINT (1279816.259979737 4507443.919203629);0.0;1012.63995361328;73.503288269043;560.327514648438;0.470526814460754;3.09155821800232;0.485121190547943;0.0;0.0381651520729065;233751;1279781.2531;4507182.93121;12024;97566;561;12876;79;10630;50;7;6323;0;0;0;0;0;74;26;0;0;0.0;4121.97705078125;15638.970703125;12.6350991167;1.38023942455;0.0;16
